rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.05184942,1
1,20251112_191827_Cam4_00095,0.04932947,1
2,20250417_123456_Cam4_00152,0.02982270,0
3,20251112_191827_Cam4_00028,0.02398767,1
4,20250417_123456_Cam4_00134,0.02276274,0
5,20251210_185619_Cam4_00024,0.01165464,1
6,20251210_185619_Cam4_00022,0.00869795,1
7,20251112_191827_Cam4_00011,0.00571914,1
8,20251210_185619_Cam4_00034,0.00545656,0
9,20250417_123456_Cam4_00140,0.00472111,1
10,20251210_185619_Cam4_00046,0.00442069,0
11,20251112_191827_Cam4_00066,0.00430402,0
12,20250417_123456_Cam4_00162,0.00396607,1
13,20251112_191827_Cam4_00034,0.00386446,0
14,20251112_191827_Cam4_00088,0.00366768,1
15,20251112_191827_Cam4_00063,0.00354077,0
16,20251112_191827_Cam4_00054,0.00353148,1
17,20250417_123456_Cam4_00079,0.00288431,0
