rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.06839526,1
1,20251112_191827_Cam4_00015,0.06257280,1
2,20251112_191827_Cam4_00028,0.05017388,1
3,20251210_185619_Cam4_00024,0.03343384,1
4,20250417_123456_Cam4_00152,0.01903014,0
5,20251112_191827_Cam4_00011,0.01544581,1
6,20250417_123456_Cam4_00162,0.01501745,1
7,20251112_191827_Cam4_00088,0.01426556,1
8,20251112_191827_Cam4_00034,0.01392934,0
9,20251112_191827_Cam4_00054,0.01360505,1
10,20251112_191827_Cam4_00063,0.01355746,0
11,20250417_123456_Cam4_00140,0.01328808,1
12,20251112_191827_Cam4_00066,0.01319870,0
13,20250417_123456_Cam4_00134,0.01312640,0
14,20251210_185619_Cam4_00022,0.01209824,1
15,20251210_185619_Cam4_00034,0.01132744,0
16,20251210_185619_Cam4_00046,0.01114881,0
17,20250417_123456_Cam4_00079,0.01054777,0
