rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.06799310,1
1,20251112_191827_Cam4_00015,0.06403778,1
2,20251112_191827_Cam4_00028,0.04584127,1
3,20250417_123456_Cam4_00152,0.03655602,0
4,20251210_185619_Cam4_00024,0.03179107,1
5,20250417_123456_Cam4_00134,0.02689355,0
6,20251112_191827_Cam4_00011,0.01968526,1
7,20251112_191827_Cam4_00088,0.01880278,1
8,20251112_191827_Cam4_00034,0.01837048,0
9,20251112_191827_Cam4_00063,0.01809693,0
10,20251112_191827_Cam4_00054,0.01809050,1
11,20251112_191827_Cam4_00066,0.01756013,0
12,20250417_123456_Cam4_00140,0.01735275,1
13,20250417_123456_Cam4_00162,0.01615674,1
14,20251210_185619_Cam4_00034,0.01561045,0
15,20251210_185619_Cam4_00046,0.01512654,0
16,20251210_185619_Cam4_00022,0.01485438,1
17,20250417_123456_Cam4_00079,0.01394991,0
