rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.07150324,1
1,20251112_191827_Cam4_00015,0.06772360,1
2,20251112_191827_Cam4_00028,0.05231302,1
3,20251210_185619_Cam4_00024,0.03527635,1
4,20251112_191827_Cam4_00088,0.02926962,1
5,20251112_191827_Cam4_00063,0.02838711,0
6,20251112_191827_Cam4_00054,0.02560708,1
7,20251112_191827_Cam4_00066,0.02533014,0
8,20251112_191827_Cam4_00034,0.02502600,0
9,20250417_123456_Cam4_00152,0.02130247,0
10,20251210_185619_Cam4_00034,0.02020753,0
11,20250417_123456_Cam4_00162,0.02017416,1
12,20251112_191827_Cam4_00011,0.01970945,1
13,20250417_123456_Cam4_00140,0.01949559,1
14,20251210_185619_Cam4_00022,0.01887875,1
15,20251210_185619_Cam4_00046,0.01827697,0
16,20250417_123456_Cam4_00134,0.01749897,0
17,20250417_123456_Cam4_00079,0.01284586,0
