rank,frame_id,score,label
0,20251112_191827_Cam4_00088,0.02826478,1
1,20251210_185619_Cam4_00024,0.02773121,1
2,20251112_191827_Cam4_00063,0.02727352,0
3,20251112_191827_Cam4_00054,0.02449787,1
4,20251112_191827_Cam4_00066,0.02390429,0
5,20251112_191827_Cam4_00034,0.02384615,0
6,20250417_123456_Cam4_00162,0.01910179,1
7,20251210_185619_Cam4_00034,0.01875880,0
8,20250417_123456_Cam4_00140,0.01858189,1
9,20251112_191827_Cam4_00015,0.01810119,1
10,20251210_185619_Cam4_00022,0.01807974,1
11,20251210_185619_Cam4_00046,0.01792507,0
12,20251112_191827_Cam4_00095,0.01674986,1
13,20251112_191827_Cam4_00028,0.01469177,1
14,20251112_191827_Cam4_00011,0.01401762,1
15,20250417_123456_Cam4_00134,0.00995424,0
16,20250417_123456_Cam4_00079,0.00873189,0
17,20250417_123456_Cam4_00152,0.00693123,0
