rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04535944,1
1,20251112_191827_Cam4_00015,0.03728493,1
2,20250417_123456_Cam4_00152,0.01679721,0
3,20251112_191827_Cam4_00028,0.01659160,1
4,20250417_123456_Cam4_00134,0.01339682,0
5,20251210_185619_Cam4_00024,0.01096937,1
6,20251210_185619_Cam4_00022,0.00799943,1
7,20251112_191827_Cam4_00011,0.00595442,1
8,20251112_191827_Cam4_00066,0.00442296,0
9,20251210_185619_Cam4_00046,0.00436968,0
10,20250417_123456_Cam4_00140,0.00435087,1
11,20251210_185619_Cam4_00034,0.00432274,0
12,20251112_191827_Cam4_00034,0.00431090,0
13,20251112_191827_Cam4_00088,0.00421280,1
14,20251112_191827_Cam4_00063,0.00408350,0
15,20251112_191827_Cam4_00054,0.00394800,1
16,20250417_123456_Cam4_00162,0.00358815,1
17,20250417_123456_Cam4_00079,0.00314631,0
