rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04757056,1
1,20251112_191827_Cam4_00015,0.03914396,1
2,20250417_123456_Cam4_00152,0.01758367,0
3,20251112_191827_Cam4_00028,0.01535411,1
4,20250417_123456_Cam4_00134,0.01388361,0
5,20251210_185619_Cam4_00024,0.01139213,1
6,20251210_185619_Cam4_00022,0.00875146,1
7,20251112_191827_Cam4_00011,0.00597999,1
8,20250417_123456_Cam4_00162,0.00442667,1
9,20251112_191827_Cam4_00066,0.00441897,0
10,20251210_185619_Cam4_00034,0.00433876,0
11,20251210_185619_Cam4_00046,0.00432621,0
12,20250417_123456_Cam4_00140,0.00429393,1
13,20251112_191827_Cam4_00034,0.00404357,0
14,20251112_191827_Cam4_00054,0.00372929,1
15,20251112_191827_Cam4_00088,0.00295219,1
16,20251112_191827_Cam4_00063,0.00282001,0
17,20250417_123456_Cam4_00079,0.00234664,0
