rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04746176,1
1,20251112_191827_Cam4_00015,0.04405433,1
2,20250417_123456_Cam4_00152,0.01874376,0
3,20251112_191827_Cam4_00028,0.01837454,1
4,20250417_123456_Cam4_00134,0.01458305,0
5,20251210_185619_Cam4_00024,0.01209798,1
6,20251112_191827_Cam4_00054,0.01021169,1
7,20251210_185619_Cam4_00022,0.00917245,1
8,20251112_191827_Cam4_00011,0.00836165,1
9,20250417_123456_Cam4_00140,0.00833871,1
10,20251112_191827_Cam4_00088,0.00670093,1
11,20251210_185619_Cam4_00034,0.00657390,0
12,20251112_191827_Cam4_00034,0.00645136,0
13,20251112_191827_Cam4_00066,0.00627791,0
14,20250417_123456_Cam4_00162,0.00611325,1
15,20250417_123456_Cam4_00079,0.00584732,0
16,20251112_191827_Cam4_00063,0.00547621,0
17,20251210_185619_Cam4_00046,0.00507618,0
