rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01361993,1
1,20251112_191827_Cam4_00028,0.00949580,1
2,20251112_191827_Cam4_00095,0.00949369,1
3,20251112_191827_Cam4_00054,0.00842646,1
4,20250417_123456_Cam4_00140,0.00772568,1
5,20251112_191827_Cam4_00088,0.00660813,1
6,20251112_191827_Cam4_00034,0.00644128,0
7,20250417_123456_Cam4_00162,0.00606457,1
8,20251112_191827_Cam4_00066,0.00606159,0
9,20250417_123456_Cam4_00079,0.00549623,0
10,20251210_185619_Cam4_00024,0.00540854,1
11,20251210_185619_Cam4_00034,0.00531431,0
12,20251112_191827_Cam4_00063,0.00489622,0
13,20251112_191827_Cam4_00011,0.00462669,1
14,20250417_123456_Cam4_00152,0.00459447,0
15,20250417_123456_Cam4_00134,0.00412904,0
16,20251210_185619_Cam4_00022,0.00392890,1
17,20251210_185619_Cam4_00046,0.00377349,0
