rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.06681836,1
1,20251112_191827_Cam4_00015,0.06136465,1
2,20251112_191827_Cam4_00028,0.04397110,1
3,20251210_185619_Cam4_00024,0.02662393,1
4,20250417_123456_Cam4_00152,0.02568606,0
5,20250417_123456_Cam4_00134,0.01787101,0
6,20251112_191827_Cam4_00011,0.01517511,1
7,20251112_191827_Cam4_00088,0.01405802,1
8,20251112_191827_Cam4_00034,0.01370275,0
9,20251112_191827_Cam4_00054,0.01335873,1
10,20251112_191827_Cam4_00063,0.01326893,0
11,20251112_191827_Cam4_00066,0.01319016,0
12,20250417_123456_Cam4_00140,0.01276133,1
13,20250417_123456_Cam4_00162,0.01213741,1
14,20251210_185619_Cam4_00022,0.01192567,1
15,20251210_185619_Cam4_00034,0.01131323,0
16,20251210_185619_Cam4_00046,0.01083189,0
17,20250417_123456_Cam4_00079,0.01038747,0
