rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.07051370,1
1,20251112_191827_Cam4_00015,0.06869252,1
2,20251112_191827_Cam4_00028,0.05064160,1
3,20251210_185619_Cam4_00024,0.02985390,1
4,20250417_123456_Cam4_00152,0.02892788,0
5,20250417_123456_Cam4_00134,0.02101441,0
6,20251112_191827_Cam4_00011,0.01851673,1
7,20250417_123456_Cam4_00140,0.01798305,1
8,20251112_191827_Cam4_00054,0.01749019,1
9,20251112_191827_Cam4_00066,0.01733409,0
10,20251112_191827_Cam4_00088,0.01719141,1
11,20251112_191827_Cam4_00034,0.01693726,0
12,20251112_191827_Cam4_00063,0.01622744,0
13,20251210_185619_Cam4_00034,0.01564091,0
14,20251210_185619_Cam4_00022,0.01507576,1
15,20250417_123456_Cam4_00162,0.01500109,1
16,20250417_123456_Cam4_00079,0.01415122,0
17,20251210_185619_Cam4_00046,0.01343062,0
