rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.12375243,0
1,20250417_123456_Cam4_00134,0.11229234,0
2,20251112_191827_Cam4_00015,0.10645460,1
3,20250417_123456_Cam4_00152,0.10320655,0
4,20251112_191827_Cam4_00028,0.10263273,1
5,20251112_191827_Cam4_00095,0.09981328,1
6,20250417_123456_Cam4_00140,0.09326493,1
7,20251210_185619_Cam4_00034,0.09141053,0
8,20251210_185619_Cam4_00022,0.08693388,1
9,20251112_191827_Cam4_00034,0.07878417,0
10,20251112_191827_Cam4_00066,0.07502913,0
11,20251112_191827_Cam4_00011,0.07230088,1
12,20251112_191827_Cam4_00054,0.07171828,1
13,20251112_191827_Cam4_00063,0.07074056,0
14,20250417_123456_Cam4_00162,0.06612613,1
15,20251210_185619_Cam4_00024,0.06310515,1
16,20251210_185619_Cam4_00046,0.06141403,0
17,20251112_191827_Cam4_00088,0.05722710,1
