rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.13079131,1
1,20250417_123456_Cam4_00079,0.12619269,0
2,20250417_123456_Cam4_00134,0.11814123,0
3,20251112_191827_Cam4_00015,0.11586379,1
4,20250417_123456_Cam4_00152,0.10971553,0
5,20251112_191827_Cam4_00028,0.10750733,1
6,20251210_185619_Cam4_00034,0.10450695,0
7,20250417_123456_Cam4_00140,0.10345982,1
8,20251210_185619_Cam4_00022,0.09783536,1
9,20251112_191827_Cam4_00034,0.09148987,0
10,20251112_191827_Cam4_00066,0.09070279,0
11,20251112_191827_Cam4_00011,0.08735272,1
12,20251112_191827_Cam4_00054,0.08525307,1
13,20251112_191827_Cam4_00063,0.08206513,0
14,20250417_123456_Cam4_00162,0.07912644,1
15,20251210_185619_Cam4_00024,0.07777327,1
16,20251210_185619_Cam4_00046,0.07675247,0
17,20251112_191827_Cam4_00088,0.07076429,1
