rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.04837772,1
1,20251112_191827_Cam4_00095,0.04044538,1
2,20251112_191827_Cam4_00028,0.02783396,1
3,20251210_185619_Cam4_00024,0.01258200,1
4,20251112_191827_Cam4_00054,0.01237439,1
5,20251112_191827_Cam4_00011,0.01132323,1
6,20251112_191827_Cam4_00088,0.00955856,1
7,20250417_123456_Cam4_00140,0.00911169,1
8,20251112_191827_Cam4_00066,0.00904402,0
9,20251112_191827_Cam4_00063,0.00900890,0
10,20250417_123456_Cam4_00162,0.00836495,1
11,20251210_185619_Cam4_00022,0.00733153,1
