rank,frame_id,score,label
0,20250417_123456_Cam4_00134,0.11664246,0
1,20250417_123456_Cam4_00152,0.11152037,0
2,20251112_191827_Cam4_00015,0.04823548,1
3,20251112_191827_Cam4_00095,0.04004962,1
4,20251112_191827_Cam4_00028,0.02751381,1
5,20251210_185619_Cam4_00024,0.01315957,1
6,20251112_191827_Cam4_00054,0.01223873,1
7,20251112_191827_Cam4_00011,0.01091287,1
8,20251112_191827_Cam4_00034,0.00991800,0
9,20251112_191827_Cam4_00063,0.00991387,0
10,20251112_191827_Cam4_00066,0.00979373,0
11,20251112_191827_Cam4_00088,0.00967936,1
12,20250417_123456_Cam4_00140,0.00926611,1
13,20251210_185619_Cam4_00034,0.00902085,0
14,20250417_123456_Cam4_00162,0.00893656,1
15,20250417_123456_Cam4_00079,0.00866239,0
16,20251210_185619_Cam4_00022,0.00799511,1
17,20251210_185619_Cam4_00046,0.00776446,0
