rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.04930572,1
1,20251112_191827_Cam1_00095,0.04163579,1
2,20251112_191827_Cam1_00015,0.04154561,1
3,20251210_185619_Cam1_00017,0.03250869,1
4,20251210_185619_Cam1_00036,0.02774311,1
5,20251210_185619_Cam1_00025,0.02601798,0
6,20251210_185619_Cam1_00040,0.02421108,1
7,20251210_185619_Cam1_00010,0.02372646,0
8,20250417_123456_Cam1_00148,0.02336978,1
9,20251210_185619_Cam1_00021,0.02230071,0
10,20251210_185619_Cam1_00013,0.02125719,0
11,20250417_123456_Cam1_00147,0.02117038,1
12,20251210_185619_Cam1_00007,0.02096667,1
13,20251210_185619_Cam1_00038,0.02078594,0
14,20251210_185619_Cam1_00045,0.02062297,0
15,20251210_185619_Cam1_00015,0.02018494,0
16,20251210_185619_Cam1_00044,0.01959817,1
17,20251210_185619_Cam1_00020,0.01944733,0
18,20251210_185619_Cam1_00048,0.01919161,0
19,20251210_185619_Cam1_00018,0.01861978,0
20,20250417_123456_Cam1_00162,0.01832080,1
