rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.01583025,1
1,20251112_191827_Cam1_00095,0.01540045,1
2,20251112_191827_Cam1_00015,0.01511482,1
3,20251210_185619_Cam1_00044,0.01418138,1
4,20251210_185619_Cam1_00045,0.01407392,0
5,20250417_123456_Cam1_00148,0.01396643,1
6,20251210_185619_Cam1_00038,0.01394520,0
7,20250417_123456_Cam1_00147,0.01392827,1
8,20251210_185619_Cam1_00015,0.01390361,0
9,20251210_185619_Cam1_00018,0.01390157,0
10,20251210_185619_Cam1_00013,0.01387432,0
11,20251210_185619_Cam1_00025,0.01385423,0
12,20251210_185619_Cam1_00048,0.01380001,0
13,20251210_185619_Cam1_00020,0.01379127,0
14,20251210_185619_Cam1_00036,0.01379107,1
15,20251210_185619_Cam1_00017,0.01378766,1
16,20251210_185619_Cam1_00021,0.01376704,0
17,20251210_185619_Cam1_00010,0.01374745,0
18,20251210_185619_Cam1_00040,0.01373430,1
19,20250417_123456_Cam1_00162,0.01364123,1
20,20251210_185619_Cam1_00007,0.01355104,1
