rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04828225,1
1,20251112_191827_Cam4_00015,0.04101699,1
2,20251112_191827_Cam4_00054,0.01919883,1
3,20251112_191827_Cam4_00088,0.01842210,1
4,20251112_191827_Cam4_00066,0.01739545,0
5,20251210_185619_Cam4_00024,0.01599891,1
6,20251112_191827_Cam4_00063,0.01595200,0
7,20251112_191827_Cam4_00028,0.01559695,1
8,20251112_191827_Cam4_00034,0.01464425,0
9,20250417_123456_Cam4_00162,0.01367108,1
10,20251210_185619_Cam4_00046,0.01341461,0
11,20250417_123456_Cam4_00152,0.01202026,0
12,20251210_185619_Cam4_00022,0.01040498,1
13,20251210_185619_Cam4_00034,0.01030491,0
14,20250417_123456_Cam4_00134,0.00938277,0
15,20250417_123456_Cam4_00140,0.00917079,1
16,20251112_191827_Cam4_00011,0.00799355,1
17,20250417_123456_Cam4_00079,0.00582357,0
