rank,frame_id,score,label
0,20251112_191827_Cam5_00018,0.01337847,1
1,20251112_191827_Cam5_00028,0.01281390,1
2,20251112_191827_Cam5_00095,0.01135877,1
3,20251112_191827_Cam5_00040,0.00939511,0
4,20251112_191827_Cam5_00007,0.00905180,1
5,20251112_191827_Cam5_00046,0.00904239,0
6,20251112_191827_Cam5_00015,0.00860106,1
7,20251112_191827_Cam5_00123,0.00808030,1
8,20251112_191827_Cam5_00033,0.00774558,0
9,20251112_191827_Cam5_00006,0.00767889,0
10,20251112_191827_Cam5_00067,0.00749860,1
11,20251112_191827_Cam5_00012,0.00698674,0
12,20251112_191827_Cam5_00036,0.00548865,0
13,20251112_191827_Cam5_00022,0.00508413,0
