rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.04238652,1
1,20251112_191827_Cam1_00095,0.03767194,1
2,20251112_191827_Cam1_00015,0.03766737,1
3,20251210_185619_Cam1_00017,0.03053604,1
4,20251210_185619_Cam1_00010,0.02149016,0
5,20251210_185619_Cam1_00036,0.02133157,1
6,20251210_185619_Cam1_00025,0.01980569,0
7,20251210_185619_Cam1_00040,0.01962824,1
8,20250417_123456_Cam1_00147,0.01916258,1
9,20251210_185619_Cam1_00021,0.01859208,0
10,20250417_123456_Cam1_00148,0.01856554,1
11,20251210_185619_Cam1_00038,0.01842196,0
12,20251210_185619_Cam1_00015,0.01740548,0
13,20251210_185619_Cam1_00020,0.01723580,0
14,20251210_185619_Cam1_00007,0.01691096,1
15,20251210_185619_Cam1_00013,0.01659229,0
16,20251210_185619_Cam1_00044,0.01643824,1
17,20251210_185619_Cam1_00018,0.01610577,0
18,20251210_185619_Cam1_00045,0.01607612,0
19,20251210_185619_Cam1_00048,0.01586598,0
20,20250417_123456_Cam1_00162,0.01506673,1
