rank,frame_id,score,label
0,20251112_191827_Cam1_00095,0.00975344,1
1,20251112_191827_Cam1_00015,0.00931397,1
2,20251112_191827_Cam1_00028,0.00911056,1
3,20251210_185619_Cam1_00015,0.00905534,0
4,20251210_185619_Cam1_00025,0.00899105,0
5,20251210_185619_Cam1_00020,0.00768902,0
6,20250417_123456_Cam1_00162,0.00763261,1
7,20251210_185619_Cam1_00021,0.00752998,0
8,20251210_185619_Cam1_00045,0.00748219,0
9,20251210_185619_Cam1_00038,0.00727105,0
10,20251210_185619_Cam1_00018,0.00707102,0
11,20251210_185619_Cam1_00010,0.00650166,0
12,20251210_185619_Cam1_00036,0.00629110,1
13,20250417_123456_Cam1_00148,0.00624036,1
14,20251210_185619_Cam1_00017,0.00609923,1
15,20251210_185619_Cam1_00040,0.00586511,1
16,20251210_185619_Cam1_00044,0.00542643,1
17,20251210_185619_Cam1_00013,0.00540838,0
18,20251210_185619_Cam1_00007,0.00536056,1
19,20250417_123456_Cam1_00147,0.00432056,1
20,20251210_185619_Cam1_00048,0.00340575,0
