rank,frame_id,score,label
0,20251112_191827_Cam1_00095,0.00996735,1
1,20251112_191827_Cam1_00028,0.00975108,1
2,20251112_191827_Cam1_00015,0.00904065,1
3,20250417_123456_Cam1_00148,0.00618557,1
4,20251210_185619_Cam1_00017,0.00599684,1
5,20251210_185619_Cam1_00040,0.00513219,1
6,20250417_123456_Cam1_00162,0.00458792,1
7,20251210_185619_Cam1_00015,0.00409634,0
8,20251210_185619_Cam1_00020,0.00395917,0
9,20250417_123456_Cam1_00147,0.00390488,1
10,20251210_185619_Cam1_00044,0.00374202,1
11,20251210_185619_Cam1_00048,0.00356794,0
12,20251210_185619_Cam1_00010,0.00345392,0
13,20251210_185619_Cam1_00025,0.00336118,0
14,20251210_185619_Cam1_00018,0.00328961,0
15,20251210_185619_Cam1_00038,0.00325218,0
16,20251210_185619_Cam1_00007,0.00316485,1
17,20251210_185619_Cam1_00045,0.00305565,0
18,20251210_185619_Cam1_00013,0.00305103,0
19,20251210_185619_Cam1_00021,0.00297615,0
20,20251210_185619_Cam1_00036,0.00291211,1
