rank,frame_id,score,label
0,20251112_191827_Cam1_00095,0.00988688,1
1,20251112_191827_Cam1_00015,0.00935139,1
2,20251112_191827_Cam1_00028,0.00883704,1
3,20251210_185619_Cam1_00025,0.00688456,0
4,20250417_123456_Cam1_00148,0.00642622,1
5,20251210_185619_Cam1_00017,0.00586916,1
6,20251210_185619_Cam1_00015,0.00568977,0
7,20251210_185619_Cam1_00036,0.00565084,1
8,20251210_185619_Cam1_00040,0.00497313,1
9,20251210_185619_Cam1_00020,0.00468798,0
10,20250417_123456_Cam1_00162,0.00423182,1
11,20251210_185619_Cam1_00038,0.00403098,0
12,20250417_123456_Cam1_00147,0.00400343,1
13,20251210_185619_Cam1_00010,0.00396691,0
14,20251210_185619_Cam1_00044,0.00366986,1
15,20251210_185619_Cam1_00021,0.00366654,0
16,20251210_185619_Cam1_00018,0.00350471,0
17,20251210_185619_Cam1_00048,0.00343950,0
18,20251210_185619_Cam1_00045,0.00340793,0
19,20251210_185619_Cam1_00013,0.00303042,0
20,20251210_185619_Cam1_00007,0.00301425,1
