rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01075551,1
1,20251112_191827_Cam4_00095,0.00749855,1
2,20251112_191827_Cam4_00028,0.00722265,1
3,20251112_191827_Cam4_00054,0.00585380,1
4,20250417_123456_Cam4_00140,0.00526154,1
5,20250417_123456_Cam4_00162,0.00488490,1
6,20250417_123456_Cam4_00079,0.00393993,0
7,20251112_191827_Cam4_00066,0.00393118,0
8,20251112_191827_Cam4_00034,0.00370212,0
9,20251112_191827_Cam4_00011,0.00362501,1
10,20251112_191827_Cam4_00063,0.00358062,0
11,20250417_123456_Cam4_00152,0.00345779,0
12,20251210_185619_Cam4_00024,0.00342402,1
13,20251112_191827_Cam4_00088,0.00297369,1
14,20251210_185619_Cam4_00034,0.00276775,0
15,20251210_185619_Cam4_00046,0.00246881,0
16,20250417_123456_Cam4_00134,0.00245141,0
17,20251210_185619_Cam4_00022,0.00241309,1
