rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04628049,1
1,20251112_191827_Cam4_00015,0.03919565,1
2,20251112_191827_Cam4_00028,0.01502700,1
3,20251210_185619_Cam4_00024,0.01187342,1
4,20250417_123456_Cam4_00152,0.01049734,0
5,20250417_123456_Cam4_00134,0.00863469,0
6,20251210_185619_Cam4_00022,0.00807885,1
7,20251112_191827_Cam4_00011,0.00588062,1
8,20251210_185619_Cam4_00046,0.00442900,0
9,20251112_191827_Cam4_00034,0.00442443,0
10,20250417_123456_Cam4_00140,0.00437627,1
11,20251112_191827_Cam4_00088,0.00427616,1
12,20251112_191827_Cam4_00063,0.00419575,0
13,20251112_191827_Cam4_00066,0.00409040,0
14,20251210_185619_Cam4_00034,0.00404610,0
15,20251112_191827_Cam4_00054,0.00402946,1
16,20250417_123456_Cam4_00162,0.00366991,1
17,20250417_123456_Cam4_00079,0.00315488,0
