rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.04744358,1
1,20251112_191827_Cam4_00095,0.04711301,1
2,20250417_123456_Cam4_00152,0.04388392,0
3,20251112_191827_Cam4_00028,0.03041255,1
4,20250417_123456_Cam4_00134,0.03029385,0
5,20251210_185619_Cam4_00024,0.01193523,1
6,20251210_185619_Cam4_00022,0.00822480,1
7,20251210_185619_Cam4_00034,0.00626998,0
8,20251112_191827_Cam4_00011,0.00571644,1
9,20250417_123456_Cam4_00140,0.00474217,1
10,20251112_191827_Cam4_00034,0.00459599,0
11,20251112_191827_Cam4_00088,0.00459142,1
12,20251210_185619_Cam4_00046,0.00453128,0
13,20251112_191827_Cam4_00063,0.00448851,0
14,20251112_191827_Cam4_00054,0.00444895,1
15,20251112_191827_Cam4_00066,0.00436648,0
16,20250417_123456_Cam4_00162,0.00397770,1
17,20250417_123456_Cam4_00079,0.00352987,0
