rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04792480,1
1,20251112_191827_Cam4_00015,0.04101881,1
2,20251112_191827_Cam4_00054,0.01919767,1
3,20251112_191827_Cam4_00088,0.01842940,1
4,20251112_191827_Cam4_00066,0.01740518,0
5,20251210_185619_Cam4_00024,0.01598608,1
6,20251112_191827_Cam4_00063,0.01593945,0
7,20251112_191827_Cam4_00028,0.01548292,1
8,20251112_191827_Cam4_00034,0.01464243,0
9,20250417_123456_Cam4_00162,0.01365297,1
10,20251210_185619_Cam4_00046,0.01341583,0
11,20250417_123456_Cam4_00152,0.01202008,0
12,20251210_185619_Cam4_00022,0.01041132,1
13,20251210_185619_Cam4_00034,0.01030568,0
14,20250417_123456_Cam4_00134,0.00937972,0
15,20250417_123456_Cam4_00140,0.00916552,1
16,20251112_191827_Cam4_00011,0.00800610,1
17,20250417_123456_Cam4_00079,0.00582554,0
