rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.09580369,1
1,20251112_191827_Cam5_00018,0.09214497,1
2,20251112_191827_Cam5_00095,0.07061126,1
3,20251112_191827_Cam5_00015,0.06467408,1
4,20251112_191827_Cam5_00006,0.06085216,0
5,20251112_191827_Cam5_00007,0.05641996,1
6,20251112_191827_Cam5_00033,0.04462811,0
7,20251112_191827_Cam5_00046,0.03362745,0
8,20251112_191827_Cam5_00022,0.03067640,0
9,20251112_191827_Cam5_00123,0.02746279,1
10,20251112_191827_Cam5_00036,0.02722086,0
11,20251112_191827_Cam5_00067,0.02713766,1
12,20251112_191827_Cam5_00012,0.02635797,0
13,20251112_191827_Cam5_00040,0.02615920,0
