rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.10504532,1
1,20251112_191827_Cam5_00018,0.08222558,1
2,20251112_191827_Cam5_00095,0.07288732,1
3,20251112_191827_Cam5_00015,0.05538645,1
4,20251112_191827_Cam5_00006,0.05514846,0
5,20251112_191827_Cam5_00007,0.05124249,1
6,20251112_191827_Cam5_00033,0.04737211,0
7,20251112_191827_Cam5_00046,0.03190125,0
8,20251112_191827_Cam5_00022,0.02910137,0
9,20251112_191827_Cam5_00036,0.02629165,0
10,20251112_191827_Cam5_00067,0.02623099,1
11,20251112_191827_Cam5_00012,0.02562905,0
12,20251112_191827_Cam5_00123,0.02468760,1
13,20251112_191827_Cam5_00040,0.02430699,0
