rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01075319,1
1,20251112_191827_Cam4_00095,0.00749417,1
2,20251112_191827_Cam4_00028,0.00721719,1
3,20251112_191827_Cam4_00054,0.00585384,1
4,20250417_123456_Cam4_00140,0.00526103,1
5,20250417_123456_Cam4_00162,0.00488672,1
6,20250417_123456_Cam4_00079,0.00393970,0
7,20251112_191827_Cam4_00066,0.00393215,0
8,20251112_191827_Cam4_00034,0.00369900,0
9,20251112_191827_Cam4_00011,0.00362265,1
10,20251112_191827_Cam4_00063,0.00358011,0
11,20250417_123456_Cam4_00152,0.00345921,0
12,20251210_185619_Cam4_00024,0.00342673,1
13,20251112_191827_Cam4_00088,0.00296938,1
14,20251210_185619_Cam4_00034,0.00276694,0
15,20251210_185619_Cam4_00046,0.00246921,0
16,20250417_123456_Cam4_00134,0.00245215,0
17,20251210_185619_Cam4_00022,0.00241214,1
