rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04664036,1
1,20251112_191827_Cam4_00015,0.03922319,1
2,20251112_191827_Cam4_00028,0.01503052,1
3,20251210_185619_Cam4_00024,0.01186696,1
4,20250417_123456_Cam4_00152,0.01049716,0
5,20250417_123456_Cam4_00134,0.00863815,0
6,20251210_185619_Cam4_00022,0.00807818,1
7,20251112_191827_Cam4_00011,0.00588757,1
8,20251210_185619_Cam4_00046,0.00442696,0
9,20251112_191827_Cam4_00034,0.00442529,0
10,20250417_123456_Cam4_00140,0.00437602,1
11,20251112_191827_Cam4_00088,0.00427870,1
12,20251112_191827_Cam4_00063,0.00419697,0
13,20251112_191827_Cam4_00066,0.00409062,0
14,20251210_185619_Cam4_00034,0.00404391,0
15,20251112_191827_Cam4_00054,0.00402985,1
16,20250417_123456_Cam4_00162,0.00366953,1
17,20250417_123456_Cam4_00079,0.00318024,0
