rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.04861162,1
1,20251112_191827_Cam4_00095,0.04712139,1
2,20250417_123456_Cam4_00152,0.04138896,0
3,20251112_191827_Cam4_00028,0.03000495,1
4,20250417_123456_Cam4_00134,0.02914657,0
5,20251210_185619_Cam4_00024,0.01199103,1
6,20251210_185619_Cam4_00022,0.00824363,1
7,20251210_185619_Cam4_00034,0.00647089,0
8,20251112_191827_Cam4_00011,0.00572961,1
9,20250417_123456_Cam4_00140,0.00480807,1
10,20251112_191827_Cam4_00034,0.00465327,0
11,20251112_191827_Cam4_00088,0.00461874,1
12,20251112_191827_Cam4_00063,0.00451050,0
13,20251210_185619_Cam4_00046,0.00449609,0
14,20251112_191827_Cam4_00054,0.00448586,1
15,20251112_191827_Cam4_00066,0.00440479,0
16,20250417_123456_Cam4_00162,0.00402468,1
17,20250417_123456_Cam4_00079,0.00358810,0
