rank,frame_id,score,label
0,20251112_191827_Cam4_00054,0.01895982,1
1,20251112_191827_Cam4_00088,0.01818967,1
2,20251112_191827_Cam4_00066,0.01698167,0
3,20251210_185619_Cam4_00024,0.01590230,1
4,20251112_191827_Cam4_00063,0.01566484,0
5,20251112_191827_Cam4_00034,0.01447366,0
6,20250417_123456_Cam4_00162,0.01343191,1
7,20251210_185619_Cam4_00046,0.01312832,0
8,20251112_191827_Cam4_00015,0.01260170,1
9,20251210_185619_Cam4_00022,0.01024739,1
10,20251210_185619_Cam4_00034,0.00994245,0
11,20250417_123456_Cam4_00140,0.00890767,1
12,20251112_191827_Cam4_00095,0.00806235,1
13,20251112_191827_Cam4_00011,0.00775946,1
14,20251112_191827_Cam4_00028,0.00718614,1
15,20250417_123456_Cam4_00134,0.00626763,0
16,20250417_123456_Cam4_00079,0.00581388,0
17,20250417_123456_Cam4_00152,0.00461084,0
