rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.14254902,0
1,20251210_185619_Cam4_00034,0.13828936,0
2,20250417_123456_Cam4_00134,0.13069828,0
3,20251112_191827_Cam4_00028,0.12330038,1
4,20250417_123456_Cam4_00152,0.12172989,0
5,20250417_123456_Cam4_00140,0.11774705,1
6,20251112_191827_Cam4_00095,0.11741307,1
7,20251112_191827_Cam4_00015,0.11636263,1
8,20251210_185619_Cam4_00022,0.10696039,1
9,20251112_191827_Cam4_00034,0.10166986,0
10,20251112_191827_Cam4_00066,0.09780274,0
11,20251112_191827_Cam4_00011,0.09505775,1
12,20251112_191827_Cam4_00054,0.09340104,1
13,20251112_191827_Cam4_00063,0.09256540,0
14,20250417_123456_Cam4_00162,0.08844422,1
15,20251210_185619_Cam4_00024,0.08603685,1
16,20251210_185619_Cam4_00046,0.08484304,0
17,20251112_191827_Cam4_00088,0.08212651,1
