rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.14253035,0
1,20251210_185619_Cam4_00034,0.13836199,0
2,20250417_123456_Cam4_00134,0.13069123,0
3,20251112_191827_Cam4_00028,0.12330648,1
4,20250417_123456_Cam4_00152,0.12171504,0
5,20250417_123456_Cam4_00140,0.11774918,1
6,20251112_191827_Cam4_00095,0.11741604,1
7,20251112_191827_Cam4_00015,0.11635233,1
8,20251210_185619_Cam4_00022,0.10696927,1
9,20251112_191827_Cam4_00034,0.10166996,0
10,20251112_191827_Cam4_00066,0.09779865,0
11,20251112_191827_Cam4_00011,0.09505372,1
12,20251112_191827_Cam4_00054,0.09339105,1
13,20251112_191827_Cam4_00063,0.09254882,0
14,20250417_123456_Cam4_00162,0.08843860,1
15,20251210_185619_Cam4_00024,0.08602486,1
16,20251210_185619_Cam4_00046,0.08483887,0
17,20251112_191827_Cam4_00088,0.08211061,1
