rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01075669,1
1,20251112_191827_Cam4_00095,0.00750960,1
2,20251112_191827_Cam4_00028,0.00722791,1
3,20251112_191827_Cam4_00054,0.00585575,1
4,20250417_123456_Cam4_00140,0.00526369,1
5,20250417_123456_Cam4_00162,0.00488321,1
6,20251112_191827_Cam4_00066,0.00394003,0
7,20250417_123456_Cam4_00079,0.00393434,0
8,20251112_191827_Cam4_00034,0.00370592,0
9,20251112_191827_Cam4_00011,0.00363342,1
10,20251112_191827_Cam4_00063,0.00358467,0
11,20250417_123456_Cam4_00152,0.00346011,0
12,20251210_185619_Cam4_00024,0.00343965,1
13,20251112_191827_Cam4_00088,0.00298508,1
14,20251210_185619_Cam4_00034,0.00276199,0
15,20251210_185619_Cam4_00046,0.00247582,0
16,20250417_123456_Cam4_00134,0.00245167,0
17,20251210_185619_Cam4_00022,0.00241498,1
