frame_id,label,baseline_score,candidate_score,delta_score,baseline_rank,candidate_rank,delta_rank,baseline_contribution,candidate_contribution,delta_contribution,positive_flip_count,negative_flip_count,net_flip_count
20250417_123456_Cam4_00079,0,0.13992050,0.00315488,-0.13676562,0,17,-17,0.00000000,1.00000000,1.00000000,10,0,10
20250417_123456_Cam4_00134,0,0.12830487,0.00863469,-0.11967018,1,5,-4,0.00000000,0.40000000,0.40000000,4,0,4
20250417_123456_Cam4_00140,1,0.11578974,0.00437627,-0.11141347,4,10,-6,0.62500000,0.50000000,-0.12500000,1,2,-1
20250417_123456_Cam4_00152,0,0.11994605,0.01049734,-0.10944871,2,4,-2,0.00000000,0.40000000,0.40000000,4,0,4
20250417_123456_Cam4_00162,1,0.08547779,0.00366991,-0.08180788,14,16,-2,0.12500000,0.12500000,0.00000000,1,1,0
20251112_191827_Cam4_00011,1,0.09248763,0.00588062,-0.08660701,11,7,4,0.25000000,0.75000000,0.50000000,4,0,4
20251112_191827_Cam4_00015,1,0.11113286,0.03919565,-0.07193721,7,1,6,0.50000000,1.00000000,0.50000000,4,0,4
20251112_191827_Cam4_00028,1,0.11895540,0.01502700,-0.10392840,3,2,1,0.62500000,1.00000000,0.37500000,3,0,3
20251112_191827_Cam4_00034,0,0.09881932,0.00442443,-0.09439489,9,9,0,0.50000000,0.60000000,0.10000000,2,1,1
20251112_191827_Cam4_00054,1,0.09084146,0.00402946,-0.08681200,12,15,-3,0.25000000,0.12500000,-0.12500000,1,2,-1
20251112_191827_Cam4_00063,0,0.09019379,0.00419575,-0.08599804,13,12,1,0.70000000,0.80000000,0.10000000,2,1,1
20251112_191827_Cam4_00066,0,0.09507371,0.00409040,-0.09098331,10,13,-3,0.50000000,0.80000000,0.30000000,3,0,3
20251112_191827_Cam4_00088,1,0.07808595,0.00427616,-0.07380979,17,11,6,0.00000000,0.50000000,0.50000000,4,0,4
20251112_191827_Cam4_00095,1,0.11485814,0.04628049,-0.06857765,5,0,5,0.62500000,1.00000000,0.37500000,3,0,3
20251210_185619_Cam4_00022,1,0.10754550,0.00807885,-0.09946665,8,6,2,0.50000000,0.75000000,0.25000000,2,0,2
20251210_185619_Cam4_00024,1,0.08285753,0.01187342,-0.07098411,15,3,12,0.12500000,1.00000000,0.87500000,7,0,7
20251210_185619_Cam4_00034,0,0.11249419,0.00404610,-0.10844809,6,14,-8,0.30000000,0.80000000,0.50000000,5,0,5
20251210_185619_Cam4_00046,0,0.08162769,0.00442900,-0.07719869,16,8,8,0.90000000,0.60000000,-0.30000000,0,3,-3
