abnormal_frame_id,normal_frame_id,baseline_abnormal_score,baseline_normal_score,candidate_abnormal_score,candidate_normal_score
20251112_191827_Cam4_00028,20250417_123456_Cam4_00079,0.11895540,0.13992050,0.01502700,0.00315488
20251112_191827_Cam4_00028,20250417_123456_Cam4_00134,0.11895540,0.12830487,0.01502700,0.00863469
20251112_191827_Cam4_00028,20250417_123456_Cam4_00152,0.11895540,0.11994605,0.01502700,0.01049734
20250417_123456_Cam4_00140,20250417_123456_Cam4_00079,0.11578974,0.13992050,0.00437627,0.00315488
20251112_191827_Cam4_00095,20250417_123456_Cam4_00079,0.11485814,0.13992050,0.04628049,0.00315488
20251112_191827_Cam4_00095,20250417_123456_Cam4_00134,0.11485814,0.12830487,0.04628049,0.00863469
20251112_191827_Cam4_00095,20250417_123456_Cam4_00152,0.11485814,0.11994605,0.04628049,0.01049734
20251112_191827_Cam4_00015,20250417_123456_Cam4_00079,0.11113286,0.13992050,0.03919565,0.00315488
20251112_191827_Cam4_00015,20250417_123456_Cam4_00134,0.11113286,0.12830487,0.03919565,0.00863469
20251112_191827_Cam4_00015,20250417_123456_Cam4_00152,0.11113286,0.11994605,0.03919565,0.01049734
20251112_191827_Cam4_00015,20251210_185619_Cam4_00034,0.11113286,0.11249419,0.03919565,0.00404610
20251210_185619_Cam4_00022,20250417_123456_Cam4_00079,0.10754550,0.13992050,0.00807885,0.00315488
20251210_185619_Cam4_00022,20251210_185619_Cam4_00034,0.10754550,0.11249419,0.00807885,0.00404610
20251112_191827_Cam4_00011,20250417_123456_Cam4_00079,0.09248763,0.13992050,0.00588062,0.00315488
20251112_191827_Cam4_00011,20251210_185619_Cam4_00034,0.09248763,0.11249419,0.00588062,0.00404610
20251112_191827_Cam4_00011,20251112_191827_Cam4_00034,0.09248763,0.09881932,0.00588062,0.00442443
20251112_191827_Cam4_00011,20251112_191827_Cam4_00066,0.09248763,0.09507371,0.00588062,0.00409040
20251112_191827_Cam4_00054,20250417_123456_Cam4_00079,0.09084146,0.13992050,0.00402946,0.00315488
20250417_123456_Cam4_00162,20250417_123456_Cam4_00079,0.08547779,0.13992050,0.00366991,0.00315488
20251210_185619_Cam4_00024,20250417_123456_Cam4_00079,0.08285753,0.13992050,0.01187342,0.00315488
20251210_185619_Cam4_00024,20250417_123456_Cam4_00134,0.08285753,0.12830487,0.01187342,0.00863469
20251210_185619_Cam4_00024,20250417_123456_Cam4_00152,0.08285753,0.11994605,0.01187342,0.01049734
20251210_185619_Cam4_00024,20251210_185619_Cam4_00034,0.08285753,0.11249419,0.01187342,0.00404610
20251210_185619_Cam4_00024,20251112_191827_Cam4_00034,0.08285753,0.09881932,0.01187342,0.00442443
20251210_185619_Cam4_00024,20251112_191827_Cam4_00066,0.08285753,0.09507371,0.01187342,0.00409040
20251210_185619_Cam4_00024,20251112_191827_Cam4_00063,0.08285753,0.09019379,0.01187342,0.00419575
20251112_191827_Cam4_00088,20250417_123456_Cam4_00079,0.07808595,0.13992050,0.00427616,0.00315488
20251112_191827_Cam4_00088,20251210_185619_Cam4_00034,0.07808595,0.11249419,0.00427616,0.00404610
20251112_191827_Cam4_00088,20251112_191827_Cam4_00066,0.07808595,0.09507371,0.00427616,0.00409040
20251112_191827_Cam4_00088,20251112_191827_Cam4_00063,0.07808595,0.09019379,0.00427616,0.00419575
