frame_id,label,baseline_score,candidate_score,delta_score,baseline_rank,candidate_rank,delta_rank,baseline_contribution,candidate_contribution,delta_contribution,positive_flip_count,negative_flip_count,net_flip_count
20250417_123456_Cam4_00079,0,0.14197800,0.00352987,-0.13844813,0,17,-17,0.00000000,1.00000000,1.00000000,10,0,10
20250417_123456_Cam4_00134,0,0.13024180,0.03029385,-0.09994795,2,4,-2,0.00000000,0.30000000,0.30000000,3,0,3
20250417_123456_Cam4_00140,1,0.11745566,0.00474217,-0.11271349,5,9,-4,0.50000000,0.62500000,0.12500000,1,0,1
20250417_123456_Cam4_00152,0,0.12155235,0.04388392,-0.07766843,3,2,1,0.00000000,0.20000000,0.20000000,2,0,2
20250417_123456_Cam4_00162,1,0.08832529,0.00397770,-0.08434759,14,16,-2,0.12500000,0.12500000,0.00000000,1,1,0
20251112_191827_Cam4_00011,1,0.09503638,0.00571644,-0.08931994,11,8,3,0.25000000,0.62500000,0.37500000,3,0,3
20251112_191827_Cam4_00015,1,0.11679520,0.04744358,-0.06935162,7,0,7,0.50000000,1.00000000,0.50000000,4,0,4
20251112_191827_Cam4_00028,1,0.12152941,0.03041255,-0.09111686,4,3,1,0.50000000,0.87500000,0.37500000,3,0,3
20251112_191827_Cam4_00034,0,0.10162879,0.00459599,-0.09703280,9,10,-1,0.50000000,0.70000000,0.20000000,2,0,2
20251112_191827_Cam4_00054,1,0.09335846,0.00444895,-0.08890951,12,14,-2,0.25000000,0.25000000,0.00000000,2,2,0
20251112_191827_Cam4_00063,0,0.09253519,0.00448851,-0.08804668,13,13,0,0.70000000,0.80000000,0.10000000,2,1,1
20251112_191827_Cam4_00066,0,0.09767956,0.00436648,-0.09331308,10,15,-5,0.50000000,0.90000000,0.40000000,4,0,4
20251112_191827_Cam4_00088,1,0.08212167,0.00459142,-0.07753025,17,11,6,0.00000000,0.50000000,0.50000000,4,0,4
20251112_191827_Cam4_00095,1,0.11741316,0.04711301,-0.07030015,6,1,5,0.50000000,1.00000000,0.50000000,4,0,4
20251210_185619_Cam4_00022,1,0.10683508,0.00822480,-0.09861028,8,6,2,0.50000000,0.75000000,0.25000000,2,0,2
20251210_185619_Cam4_00024,1,0.08611812,0.01193523,-0.07418289,15,5,10,0.12500000,0.75000000,0.62500000,5,0,5
20251210_185619_Cam4_00034,0,0.13441251,0.00626998,-0.12814253,1,7,-6,0.00000000,0.50000000,0.50000000,5,0,5
20251210_185619_Cam4_00046,0,0.08487365,0.00453128,-0.08034237,16,12,4,0.90000000,0.80000000,-0.10000000,1,2,-1
