abnormal_frame_id,normal_frame_id,baseline_abnormal_score,baseline_normal_score,candidate_abnormal_score,candidate_normal_score
20251112_191827_Cam4_00028,20250417_123456_Cam4_00079,0.12152941,0.14197800,0.03041255,0.00352987
20251112_191827_Cam4_00028,20251210_185619_Cam4_00034,0.12152941,0.13441251,0.03041255,0.00626998
20251112_191827_Cam4_00028,20250417_123456_Cam4_00134,0.12152941,0.13024180,0.03041255,0.03029385
20250417_123456_Cam4_00140,20250417_123456_Cam4_00079,0.11745566,0.14197800,0.00474217,0.00352987
20251112_191827_Cam4_00095,20250417_123456_Cam4_00079,0.11741316,0.14197800,0.04711301,0.00352987
20251112_191827_Cam4_00095,20251210_185619_Cam4_00034,0.11741316,0.13441251,0.04711301,0.00626998
20251112_191827_Cam4_00095,20250417_123456_Cam4_00134,0.11741316,0.13024180,0.04711301,0.03029385
20251112_191827_Cam4_00095,20250417_123456_Cam4_00152,0.11741316,0.12155235,0.04711301,0.04388392
20251112_191827_Cam4_00015,20250417_123456_Cam4_00079,0.11679520,0.14197800,0.04744358,0.00352987
20251112_191827_Cam4_00015,20251210_185619_Cam4_00034,0.11679520,0.13441251,0.04744358,0.00626998
20251112_191827_Cam4_00015,20250417_123456_Cam4_00134,0.11679520,0.13024180,0.04744358,0.03029385
20251112_191827_Cam4_00015,20250417_123456_Cam4_00152,0.11679520,0.12155235,0.04744358,0.04388392
20251210_185619_Cam4_00022,20250417_123456_Cam4_00079,0.10683508,0.14197800,0.00822480,0.00352987
20251210_185619_Cam4_00022,20251210_185619_Cam4_00034,0.10683508,0.13441251,0.00822480,0.00626998
20251112_191827_Cam4_00011,20250417_123456_Cam4_00079,0.09503638,0.14197800,0.00571644,0.00352987
20251112_191827_Cam4_00011,20251112_191827_Cam4_00034,0.09503638,0.10162879,0.00571644,0.00459599
20251112_191827_Cam4_00011,20251112_191827_Cam4_00066,0.09503638,0.09767956,0.00571644,0.00436648
20251112_191827_Cam4_00054,20250417_123456_Cam4_00079,0.09335846,0.14197800,0.00444895,0.00352987
20251112_191827_Cam4_00054,20251112_191827_Cam4_00066,0.09335846,0.09767956,0.00444895,0.00436648
20250417_123456_Cam4_00162,20250417_123456_Cam4_00079,0.08832529,0.14197800,0.00397770,0.00352987
20251210_185619_Cam4_00024,20250417_123456_Cam4_00079,0.08611812,0.14197800,0.01193523,0.00352987
20251210_185619_Cam4_00024,20251210_185619_Cam4_00034,0.08611812,0.13441251,0.01193523,0.00626998
20251210_185619_Cam4_00024,20251112_191827_Cam4_00034,0.08611812,0.10162879,0.01193523,0.00459599
20251210_185619_Cam4_00024,20251112_191827_Cam4_00066,0.08611812,0.09767956,0.01193523,0.00436648
20251210_185619_Cam4_00024,20251112_191827_Cam4_00063,0.08611812,0.09253519,0.01193523,0.00448851
20251112_191827_Cam4_00088,20250417_123456_Cam4_00079,0.08212167,0.14197800,0.00459142,0.00352987
20251112_191827_Cam4_00088,20251112_191827_Cam4_00066,0.08212167,0.09767956,0.00459142,0.00436648
20251112_191827_Cam4_00088,20251112_191827_Cam4_00063,0.08212167,0.09253519,0.00459142,0.00448851
20251112_191827_Cam4_00088,20251210_185619_Cam4_00046,0.08212167,0.08487365,0.00459142,0.00453128
