frame_id,label,baseline_score,candidate_score,delta_score,baseline_rank,candidate_rank,delta_rank,baseline_contribution,candidate_contribution,delta_contribution,positive_flip_count,negative_flip_count,net_flip_count
20251112_191827_Cam5_00006,0,0.05514846,0.02363215,-0.03151631,4,5,-1,0.57142857,0.57142857,0.00000000,0,0,0
20251112_191827_Cam5_00007,1,0.05124249,0.02230523,-0.02893726,5,6,-1,0.85714286,0.71428571,-0.14285714,0,1,-1
20251112_191827_Cam5_00012,0,0.02562905,0.01837981,-0.00724924,11,12,-1,0.85714286,1.00000000,0.14285714,1,0,1
20251112_191827_Cam5_00015,1,0.05538645,0.02527107,-0.03011538,3,3,0,1.00000000,1.00000000,0.00000000,0,0,0
20251112_191827_Cam5_00018,1,0.08222558,0.03556763,-0.04665795,1,2,-1,1.00000000,1.00000000,0.00000000,0,0,0
20251112_191827_Cam5_00022,0,0.02910137,0.01813896,-0.01096241,8,13,-5,0.71428571,1.00000000,0.28571429,2,0,2
20251112_191827_Cam5_00028,1,0.10504532,0.05655354,-0.04849178,0,0,0,1.00000000,1.00000000,0.00000000,0,0,0
20251112_191827_Cam5_00033,0,0.04737211,0.02522786,-0.02214425,6,4,2,0.71428571,0.57142857,-0.14285714,0,1,-1
20251112_191827_Cam5_00036,0,0.02629165,0.01935928,-0.00693237,9,9,0,0.71428571,0.85714286,0.14285714,1,0,1
20251112_191827_Cam5_00040,0,0.02430699,0.01934048,-0.00496651,13,10,3,1.00000000,0.85714286,-0.14285714,0,1,-1
20251112_191827_Cam5_00046,0,0.03190125,0.02023137,-0.01166988,7,8,-1,0.71428571,0.85714286,0.14285714,1,0,1
20251112_191827_Cam5_00067,1,0.02623099,0.02134557,-0.00488542,10,7,3,0.28571429,0.71428571,0.42857143,3,0,3
20251112_191827_Cam5_00095,1,0.07288732,0.04771535,-0.02517197,2,1,1,1.00000000,1.00000000,0.00000000,0,0,0
20251112_191827_Cam5_00123,1,0.02468760,0.01917673,-0.00551087,12,11,1,0.14285714,0.28571429,0.14285714,2,1,1
