rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04860377,1
1,20251112_191827_Cam4_00015,0.04120186,1
2,20251112_191827_Cam4_00054,0.01976293,1
3,20251112_191827_Cam4_00066,0.01949349,0
4,20251112_191827_Cam4_00088,0.01891659,1
5,20251112_191827_Cam4_00063,0.01704974,0
6,20251210_185619_Cam4_00024,0.01605633,1
7,20251112_191827_Cam4_00028,0.01519020,1
8,20250417_123456_Cam4_00162,0.01443857,1
9,20251210_185619_Cam4_00022,0.00975523,1
10,20250417_123456_Cam4_00140,0.00918871,1
11,20251112_191827_Cam4_00011,0.00822491,1
